,High,Low,Open,Close,Volume,Adj Close,MarginPurchaseBuy,MarginPurchaseCashRepayment,MarginPurchaseSell,MarginPurchaseTodayBalance,MarginPurchaseYesterdayBalance,OffsetLoanAndShort,ShortSaleBuy,ShortSaleSell,ShortSaleTodayBalance,ShortSaleYesterdayBalance,b_total,s_total,b_s_ratio,buy_volume,sell_volume,bs_ratio
2001-12-20,27.771360397338867,26.219432830810547,27.689680099487305,26.62783432006836,43048085.0,11.330460548400879,11183.0,16.0,5731.0,31367.0,25931.0,0.0,80.0,0.0,44.0,124.0,1334879.0,1366202.0,1.023464281433537,,,
2001-12-21,27.036237716674805,25.320947647094727,25.72934913635254,25.565988540649414,31092999.0,10.878630638122559,8828.0,180.0,6890.0,33127.0,31369.0,1505.0,3.0,11.0,52.0,44.0,1333119.0,1366194.0,1.0248094695151224,,,
2001-12-24,25.97439193725586,24.50414276123047,25.72934913635254,24.50414276123047,15036163.0,10.426801681518555,4512.0,28.0,4024.0,33642.0,33182.0,441.0,3.0,17.0,61.0,52.0,1332604.0,1366185.0,1.0251987648252858,,,
2001-12-25,25.8110294342041,24.667503356933594,24.667503356933594,25.647668838500977,25501124.0,10.913387298583984,7269.0,84.0,2968.0,37853.0,33636.0,3179.0,12.0,142.0,191.0,61.0,1328393.0,1366055.0,1.0283507754476457,,,
2001-12-26,25.8110294342041,24.58582305908203,25.647668838500977,24.83086395263672,18905472.0,10.565826416015625,6245.0,11.0,4463.0,39623.0,37852.0,67.0,28.0,3.0,163.0,191.0,1326623.0,1366083.0,1.029743921412548,,,
2001-12-27,25.48430824279785,24.749183654785156,24.83086395263672,25.15758514404297,23592260.0,10.704850196838379,7670.0,14.0,3774.0,43505.0,39623.0,3250.0,8.0,23.0,172.0,163.0,1322741.0,1366074.0,1.0327592228870028,,,
2001-12-28,25.320947647094727,23.769018173217773,25.320947647094727,23.769018173217773,23520468.0,10.113997459411621,5808.0,884.0,6269.0,42155.0,43500.0,0.0,13.0,0.0,156.0,169.0,1324091.0,1366090.0,1.0317183398132457,,,
2001-12-31,25.23926544189453,24.095739364624023,24.177419662475586,24.83086395263672,21293840.0,10.565826416015625,7543.0,10.0,5700.0,44049.0,42216.0,1217.0,100.0,161.0,184.0,156.0,1322197.0,1366062.0,1.0331750615263373,,,
2002-01-01,24.83086395263672,24.83086395263672,24.83086395263672,24.83086395263672,0.0,10.565826416015625,7543.0,10.0,5700.0,44049.0,42216.0,1217.0,100.0,161.0,184.0,156.0,1322197.0,1366062.0,1.0331750615263373,,,
2002-01-02,25.23926544189453,24.50414276123047,25.075904846191406,24.749183654785156,17034670.0,10.531068801879883,5315.0,0.0,4305.0,45061.0,44051.0,1951.0,126.0,15.0,74.0,185.0,1321185.0,1366172.0,1.0340497098818788,,,
2002-01-03,24.749183654785156,24.749183654785156,24.749183654785156,24.749183654785156,0.0,10.531068801879883,8381.0,12.0,12065.0,41363.0,45059.0,4561.0,25.0,173.0,222.0,74.0,1324883.0,1366024.0,1.031051775098801,,,
2002-01-04,27.281278610229492,26.546154022216797,27.036237716674805,26.546154022216797,35761520.0,11.29570198059082,6263.0,0.0,9334.0,38121.0,41192.0,1605.0,37.0,189.0,345.0,193.0,1328125.0,1365901.0,1.0284423315257738,,,
2002-01-07,27.689680099487305,26.62783432006836,26.62783432006836,27.52631950378418,27674618.0,11.712774276733398,8258.0,0.0,6165.0,40719.0,38626.0,2395.0,45.0,36.0,276.0,345.0,1325527.0,1365970.0,1.0305101061614692,,,
2002-01-08,27.934722900390625,27.036237716674805,27.771360397338867,27.117916107177734,23895784.0,11.538994789123535,4192.0,5.0,7742.0,37151.0,40706.0,295.0,56.0,6.0,140.0,266.0,1329095.0,1366106.0,1.0278459945707459,,,
2002-01-09,27.607999801635742,26.30111312866211,27.117916107177734,26.546154022216797,24119436.0,11.29570198059082,4939.0,3.0,5088.0,36995.0,37147.0,809.0,44.0,3.0,87.0,140.0,1329251.0,1366159.0,1.0277652393977967,,,
2002-01-10,26.872875213623047,26.219432830810547,26.546154022216797,26.30111312866211,13711024.0,11.191433906555176,2199.0,529.0,3696.0,34989.0,37015.0,945.0,6.0,60.0,121.0,87.0,1331257.0,1366125.0,1.0261910163168972,,,
2002-01-11,27.362958908081055,26.219432830810547,26.546154022216797,26.709514617919922,28897028.0,11.365213394165039,4728.0,32.0,5622.0,34063.0,34989.0,3421.0,75.0,30.0,76.0,121.0,1332183.0,1366170.0,1.0255114909051601,,,
